customer_id,age,gender,education_level,employment_type,annual_income,loan_amount,credit_score,repayment_history,transaction_count,spending_ratio,default_flag,age_missing,annual_income_missing,loan_amount_missing,credit_score_missing,repayment_history_missing,transaction_count_missing,spending_ratio_missing,default_flag_missing,join_year,join_month,join_day,join_weekday,education_level_encoded,gender_encoded,region_North,region_South,region_West,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other,income_bin,high_income_flag,transaction_quantile,income_kmeans_bin,debt_to_income_ratio,avg_monthly_transactions,spending_to_income_ratio
CUST1001,69.0,Male,Post-Graduate,Self-Employed,655425.0,579308.0,635.0,1.0,18.0,33.55,0,0,0,0,0,0,0,0,0,2020,8,16,6,3.0,1,True,False,False,False,False,False,False,Low,1,Q1,0,0.8838661936911164,1.5,33.55
CUST1002,46.0,Female,Graduate,Self-Employed,227032.0,166149.0,512.0,1.0,90.0,79.82,0,0,0,0,0,0,0,0,0,2021,4,21,2,2.0,0,False,True,False,False,False,False,False,Low,0,Q4,0,0.7318307551358398,7.5,79.82
CUST1004,60.0,Male,Primary,Salaried,512206.0,303958.0,443.0,1.0,48.0,51.2,0,0,0,0,0,0,0,0,0,2024,8,19,0,0.0,1,False,True,False,False,False,True,False,Low,1,Q2,0,0.5934292062178108,4.0,51.2
CUST1005,25.0,Male,Graduate,Salaried,314318.0,303497.0,339.0,0.0,88.0,20.46,0,0,0,0,0,0,0,0,0,2018,12,16,6,2.0,1,False,False,True,True,False,False,False,Low,0,Q3,0,0.9655730820379361,7.333333333333333,20.46
CUST1006,38.0,Male,Graduate,Self-Employed,2260943.0,407218.0,308.0,1.0,112.0,27.21,0,0,0,0,0,0,0,0,0,2016,4,21,3,2.0,1,False,False,False,True,False,False,False,Very High,1,Q4,2,0.18010980374118232,9.333333333333334,27.21
CUST1007,56.0,Male,Secondary,Salaried,1345197.0,80755.0,792.0,0.0,95.0,62.5,0,0,0,0,0,0,0,0,0,2016,2,17,2,1.0,1,False,False,False,True,False,False,False,High,1,Q4,1,0.06003209938767333,7.916666666666667,62.5
CUST1008,36.0,Male,Graduate,Salaried,134745.0,1377921.0,544.0,1.0,42.0,40.8,0,0,0,0,0,0,0,0,0,2021,3,25,3,2.0,1,True,False,False,True,False,False,False,Low,0,Q2,0,10.226138261159969,3.5,40.8
CUST1010,28.0,Male,Secondary,Salaried,1315382.0,567691.0,629.0,0.0,46.0,86.0,0,0,0,0,0,0,0,0,0,2018,4,7,5,1.0,1,False,False,False,False,False,True,False,High,1,Q2,1,0.4315788113262915,3.8333333333333335,86.0
CUST1011,28.0,Male,Graduate,Unemployed,2239439.0,394446.0,773.0,0.0,56.0,74.45,0,0,0,0,0,0,0,0,0,2021,9,11,5,2.0,1,False,True,False,True,False,False,False,Very High,1,Q2,2,0.17613607693712577,4.666666666666667,74.45
CUST1012,41.0,Female,Secondary,Salaried,751986.0,798460.0,469.0,3.0,67.0,40.2,0,0,0,0,0,0,0,0,0,2022,12,26,0,1.0,0,False,True,False,False,False,False,False,Medium,1,Q3,3,1.0618016824781313,5.583333333333333,40.2
CUST1013,44.0,Male,Graduate,Self-Employed,1595554.0,458910.0,572.0,0.0,65.0,73.09,0,0,0,0,0,0,0,0,0,2017,9,18,0,2.0,1,True,False,False,True,False,False,False,High,1,Q3,1,0.2876179684297742,5.416666666666667,73.09
CUST1015,57.0,Male,Graduate,Salaried,1143082.0,627993.0,469.0,0.0,38.0,23.37,0,0,0,0,0,0,0,0,0,2018,10,23,1,2.0,1,True,False,False,True,False,False,False,Medium,1,Q2,3,0.5493857833471264,3.1666666666666665,23.37
CUST1016,41.0,Male,Graduate,Salaried,837582.0,394765.0,570.0,3.0,43.0,12.67,0,0,0,0,0,0,0,0,0,2021,3,6,5,2.0,1,True,False,False,True,False,False,False,Medium,1,Q2,3,0.4713150473625269,3.5833333333333335,12.67
CUST1017,20.0,Male,Secondary,Salaried,1607553.0,1310101.0,663.0,2.0,45.0,40.86,0,0,0,0,0,0,0,0,0,2021,9,20,0,1.0,1,False,False,False,False,False,False,True,High,1,Q2,1,0.8149659762384195,3.75,40.86
CUST1018,39.0,Male,Post-Graduate,Salaried,1455147.0,491122.0,596.0,2.0,112.0,82.28,0,0,0,0,0,0,0,0,0,2021,8,18,2,3.0,1,False,False,False,False,True,False,False,High,1,Q4,1,0.3375067948461564,9.333333333333334,82.28
CUST1019,44.0,Male,Graduate,Self-Employed,1684050.0,78784.0,341.0,4.0,41.0,29.12,0,0,0,0,0,0,0,0,0,2024,5,5,6,2.0,1,False,False,True,False,False,True,False,High,1,Q2,1,0.04678245895311897,3.4166666666666665,29.12
CUST1020,19.0,Male,Secondary,Unemployed,1224337.0,773264.0,385.0,0.0,69.0,26.52,0,0,0,0,0,0,0,0,0,2018,3,29,3,1.0,1,False,False,True,True,False,False,False,Medium,1,Q3,3,0.6315777437094525,5.75,26.52
CUST1022,61.0,Male,Graduate,Salaried,1899239.0,600993.0,772.0,2.0,36.0,12.0,0,0,0,0,0,0,0,0,0,2020,12,16,2,2.0,1,False,False,False,False,True,False,False,Very High,1,Q2,2,0.3164388473488592,3.0,12.0
CUST1023,47.0,Male,Secondary,Salaried,2362702.0,1439993.0,326.0,1.0,12.0,72.86,0,0,0,0,0,0,0,0,0,2024,10,18,4,1.0,1,False,False,True,True,False,False,False,Very High,1,Q1,2,0.6094687353716212,1.0,72.86
CUST1024,55.0,Male,Post-Graduate,Self-Employed,312117.0,116373.0,596.0,2.0,101.0,35.71,0,0,0,0,0,0,0,0,0,2018,2,28,2,3.0,1,False,True,False,False,False,False,True,Low,0,Q4,0,0.37285056565326463,8.416666666666666,35.71
CUST1025,19.0,Male,Post-Graduate,Salaried,1317903.0,283608.0,790.0,2.0,22.0,13.0,0,0,0,0,0,0,0,0,0,2019,12,30,0,3.0,1,False,True,False,False,False,False,False,High,1,Q1,1,0.21519641430363237,1.8333333333333333,13.0
CUST1026,38.0,Female,Secondary,Self-Employed,1317903.0,405595.0,564.0,0.0,49.0,83.42,0,0,0,0,0,0,0,0,0,2024,6,25,1,1.0,0,False,True,False,False,False,False,True,High,1,Q2,1,0.3077578547131314,4.083333333333333,83.42
CUST1027,50.0,Female,Post-Graduate,Self-Employed,416430.0,648821.0,414.0,2.0,97.0,21.17,0,0,0,0,0,0,0,0,0,2024,7,11,3,3.0,0,False,False,True,False,False,False,True,Low,0,Q4,0,1.5580553754532573,8.083333333333334,21.17
CUST1028,29.0,Male,Primary,Self-Employed,2005464.0,270056.0,563.0,0.0,100.0,54.14,0,0,0,0,0,0,0,0,0,2019,2,28,3,0.0,1,False,False,False,False,False,False,False,Very High,1,Q4,2,0.13466010858335029,8.333333333333334,54.14
CUST1029,39.0,Female,Secondary,Salaried,176426.0,1216397.0,525.0,2.0,37.0,31.92,0,0,0,0,0,0,0,0,0,2024,12,31,1,1.0,0,True,False,False,False,False,False,False,Low,0,Q2,0,6.894658383684944,3.0833333333333335,31.92
